sigma,run,correlation,gini,top10_overlap
1.75,37,0.41130585813720577,0.5335128135459838,0.42
1.75,38,0.3894029111559092,0.5398369832358183,0.435
1.75,39,0.3191178945023637,0.563649370115851,0.405
1.75,40,0.3552971363428089,0.5533823726098706,0.395
1.75,41,0.33496674731543324,0.55061711558722,0.365
1.75,42,0.3263289891275188,0.5509782279411292,0.435
1.75,43,0.3583964176386903,0.5538922292192625,0.44
1.75,44,0.3920325449283842,0.5263085381002044,0.365
1.75,45,0.32775489735594526,0.5479506184055507,0.39
1.75,46,0.3603837597868759,0.5243983717511256,0.365
1.75,47,0.3149003374726475,0.5776448156329571,0.425
1.75,48,0.33145056792617195,0.5540082283378479,0.435
1.75,49,0.3955119252262439,0.5423293882513258,0.395
2,0,0.35069318814764905,0.5240982244811947,0.325
2,1,0.2968719745647432,0.5330771739456365,0.375
2,2,0.3189142021929937,0.5228050033637099,0.34
2,3,0.2854329892975583,0.5325557864001369,0.375
2,4,0.32085369691162097,0.5265199059539271,0.36
2,5,0.32314449850781374,0.5360851975181946,0.395
2,6,0.33216411850949207,0.520975577380634,0.345
2,7,0.3394626413521084,0.5173212765654611,0.34
2,8,0.3479408781630829,0.5244504516090255,0.365
2,9,0.34902170987678793,0.5238604563085851,0.38
2,10,0.28576573912392517,0.5231322715298371,0.395
2,11,0.28521992450119893,0.5357015325800133,0.335
2,12,0.3248416780763032,0.5124593337490598,0.355
2,13,0.3084596750107091,0.538714777833576,0.39
2,14,0.3307068497909668,0.5162107353113125,0.355
2,15,0.33709027009994547,0.5346653680122643,0.385
2,16,0.3072494454184547,0.5374607068307024,0.395
2,17,0.3545505875420945,0.5154908854040867,0.39
2,18,0.28327490992249926,0.5295373396238908,0.35
2,19,0.3135424054759351,0.5360014030298018,0.35
2,20,0.3633368902432143,0.5192692501665299,0.37
2,21,0.358624814497281,0.5198352126548204,0.35
2,22,0.28182749044495664,0.5294858989235982,0.355
2,23,0.3609246687037629,0.5253395658910947,0.395
2,24,0.32977490117216207,0.5216255593669873,0.4
2,25,0.3309285635159083,0.5305168298669092,0.345
2,26,0.35195495508312225,0.5248746133858222,0.415
2,27,0.2701642741547793,0.5348247640070983,0.345
2,28,0.33115367777828925,0.5168734823827695,0.375
2,29,0.28892521140165206,0.5351456029186321,0.355
2,30,0.32835318634352123,0.5158002694964279,0.365
2,31,0.30459172398164824,0.5359014737628223,0.44
2,32,0.28588158348528575,0.5266607193757091,0.355
2,33,0.3539592865293378,0.5225688689481076,0.34
2,34,0.279550370727604,0.5286145333433747,0.355
2,35,0.3233735420532574,0.531197723845626,0.29
2,36,0.3178650966560642,0.5235729655957432,0.335
2,37,0.3025607904280082,0.5428370078313595,0.395
2,38,0.37270164337845757,0.5232958936755956,0.35
2,39,0.3659279650873849,0.5123525210746231,0.35
2,40,0.3396972908106054,0.5213376469731561,0.39
2,41,0.25425719341305864,0.5145442101361795,0.35
2,42,0.3190904392211758,0.5215463718530595,0.44
2,43,0.36722419639462067,0.5190934420150605,0.355
2,44,0.36971583516643475,0.5252466398373523,0.425
2,45,0.3038968062326121,0.5369810078897811,0.385
2,46,0.371220944670345,0.5353011082591963,0.37
2,47,0.34950993216246407,0.5156359106625742,0.355
2,48,0.31144508411207905,0.5345863578841045,0.425
2,49,0.3822600153543891,0.5192672368981976,0.36
